liberties,0.49939146628671927
stones,0.47247116171238285
group,0.23623558085619142
connecting,0.1997565865146877
single,0.1997565865146877
board,0.1997565865146877
unit,0.1997565865146877
connected,0.1997565865146877
center,0.1997565865146877
eye,0.09987829325734385
eyed,0.09987829325734385
total,0.09987829325734385
stronger,0.09987829325734385
strategy,0.09987829325734385
capture,0.09987829325734385
captured,0.09987829325734385
share,0.09987829325734385
separately,0.09987829325734385
separate,0.09987829325734385
results,0.09987829325734385
adjacent,0.09987829325734385
makes,0.09987829325734385
live,0.09987829325734385
keeping,0.09987829325734385
involves,0.09987829325734385
instance,0.09987829325734385
individual,0.09987829325734385
increase,0.09987829325734385
fundamental,0.09987829325734385
form,0.09987829325734385
play,0.07874519361873047
played,0.07874519361873047
stone,0.07874519361873047
opponent,0.06375102080387893
